population,name,country,region,longitude,latitude
480202,Dresden,DE,Sachsen,13.75,51.05
89852,Dueren,DE,Nordrhein-Westfalen,6.50,50.80
574936,Duesseldorf,DE,Nordrhein-Westfalen,6.78,51.22
636797,Duisburg,DE,Nordrhein-Westfalen,6.75,51.43
200799,Erfurt,DE,Thueringen,11.03,50.97
102383,Erlangen,DE,Bayern,11.03,49.60
622380,Essen,DE,Nordrhein-Westfalen,6.95,51.45
91388,Esslingen,DE,Baden-Wuerttemberg,10.03,48.82
87991,Flensburg,DE,Schleswig-Holstein,9.45,54.78
108097,Fuerth,DE,Bayern,11.00,49.47
58711,Fulda,DE,Hessen,9.68,50.55
62196,Garbsen,DE,Niedersachsen,9.60,52.42
295037,Gelsenkirchen,DE,Nordrhein-Westfalen,7.08,51.33
122974,Gera,DE,Thueringen,12.18,50.85
79931,Gladbeck,DE,Nordrhein-Westfalen,6.98,51.57
69875,Görlitz,DE,Sachsen,15.00,51.15
63941,Greifswald,DE,Mecklenburg-Vorpommern,13.40,54.10
62737,Grevenbroich,DE,Nordrhein-Westfalen,6.57,51.08
91634,Guetersloh,DE,Nordrhein-Westfalen,8.37,51.90
214877,Hagen,DE,Nordrhein-Westfalen,7.45,51.37
59209,Hameln,DE,Niedersachsen,9.37,52.12
182390,Hamm,DE,Nordrhein-Westfalen,7.82,51.67
89156,Hanau,DE,Hessen,8.93,50.13
58481,Hattingen,DE,Nordrhein-Westfalen,7.17,51.40
122396,Heilbronn,DE,Baden-Wuerttemberg,9.23,49.13
65682,Herford,DE,Nordrhein-Westfalen,8.67,52.12
180539,Heme,DE,Nordrhein-Westfalen,8.93,54.28
69592,Herten,DE,Nordrhein-Westfalen,7.13,51.60
106303,Hildesheim,DE,Niedersachsen,6.67,50.28
62238,Hoyerswerda,DE,Sachsen,14.28,51.47
109666,Ingolstadt,DE,Bayern,11.45,48.77
98478,Iserlohn,DE,Nordrhein-Westfalen,7.70,51.38
102370,Kaiserslautern,DE,Rheinland-Pfalz,7.78,49.45
202158,Kassel,DE,Hessen,9.50,51.30
61699,Kempten,DE,Bayern,6.42,51.37
60395,Kerpen,DE,Nordrhein-Westfalen,6.70,50.87
248931,Kiel,DE,Schleswig-Holstein,10.13,54.33
109807,Koblenz,DE,Rheinland-Pfalz,7.60,50.35
75891,Konstanz,DE,Baden-Wuerttemberg,9.17,47.67
249565,Krefeld,DE,Nordrhein-Westfalen,6.53,51.33
59637,Landshut,DE,Bayern,12.17,48.52
492640,Leipzig,DE,Sachsen,12.42,51.33
161761,Leverkusen,DE,Nordrhein-Westfalen,6.98,51.03
65922,Lippstadt,DE,Nordrhein-Westfalen,8.33,51.68
86216,Ludwigsburg,DE,Baden-Wuerttemberg,9.20,48.90
217269,Luebeck,DE,Schleswig-Holstein,10.67,53.87
80277,Luedenscheid,DE,Nordrhein-Westfalen,7.63,51.22
63299,Lueneburg,DE,Niedersachsen,10.40,51.25
89741,Luenen,DE,Nordrhein-Westfalen,7.52,51.62
270546,Magdeburg,DE,Sachsen-Anhalt,11.62,52.13
92590,Marl,DE,Nordrhein-Westfalen,7.10,51.63
80420,Minden,DE,Nordrhein-Westfalen,8.90,52.30
265312,Mönchengladbach,DE,Nordrhein-Westfalen,6.42,51.20
